finding	location	file_path	record_id	name	value	unit	detail
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/mbbm.yaml	CultureMech:000083	Make up to 1 litre with distilled water. For agar add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/met_44.yaml	CultureMech:000096	Make up to 1 litre with filtered natural seawater. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/mhy.yaml	CultureMech:000091	Make up to 1 litre with deionised water. Adjust pH to 6.8 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/pp.yaml	CultureMech:000115	Make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/sbbm.yaml	CultureMech:000127	Make up to 1 litre with distilled water. For agar add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/wmy.yaml	CultureMech:000150	Add the above constituents and make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/archaea/fervidicoccus_fontis_medium.yaml	CultureMech:003283		25.0	G_PER_L	preferred_term is empty; the name is not recoverable from this record
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1003.yaml	CultureMech:007449		MgSO4·7H2O	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
UNPARSED_SOLUTION_TABLE	solutions[].preferred_term	data/normalized_yaml/bacterial/NBRC_1003.yaml	CultureMech:007449	MgSO4·7H2O0.5g(NH4)2SO40.4gK2HPO40.2gKCl0.1gDistilled water1LAdjust pH to 2.0 with H2SO4.Heterotrophic growth on yeast extract:Add 10 mg/l of FeSO4·7H2O to the medium. After autoclaving, add yeast extract from sterile stock solution to final concentration of 0.25 g/l.Autotrophic growth on ferrous sulfate:Add 13.9 g/l of FeSO4·7H2O to the medium, and adjust medium pH to 1.7 with H2SO4prior to autoclaving.			composition is empty and the name is a concatenated composition table; reaches the KGX export as a node
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1021.yaml	CultureMech:007450		Ethanol	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
UNPARSED_SOLUTION_TABLE	solutions[].preferred_term	data/normalized_yaml/bacterial/NBRC_1021.yaml	CultureMech:007450	Ethanol0.46mlYeast extract0.1gKH2PO40.14gMgCl2·6H2O0.2gCaCl2·2H2O0.15gNH4Cl0.54gSodium acetate0.82gVitamin solution*2mlTrace element solution**2mlSe/W solution***1mlResazurin solution****1mlNaHCO32.5gNa2S·9H2O0.3gCysteine-HCl0.3gDistilled water1LFor vial cultures, dissolve all ingredients except for ethanol, vitamin solution, Na2S·9H2O and cysteine-HCl, flush N2/CO2(80/20) and autoclave.  Concentrated Na2S·9H2O and cysteine-HCl solutions are sterilized separately by autoclaving under a N2atmosphere in tightly closed vessels.  Add filter-sterilized 0.8 M ethanol and vitamin solutions, and autoclaved Na2S·9H2O and cysteine-HCl solutions . Inoculum size 10-20%.*Vitamin solutionBiotin0.5mgFolic acid0.9mgPyridoxine-HCl0.4mgThiamine-HCl0.7mgRiboflavin0.8mgNicotinic acid0.2mgCa-pantothenate0.5mgVitamin B122.7mgp-Aminobenzoic acid0.3mgLipoic acid0.4mgDistilled water1L**Trace element solutionNitrilotriacetic acid (NTA)12.8gFeCl3·6H2O1.35gMnCl2·4H2O0.1gCoCl2·6H2O24mgCaCl2·2H2O0.1gZnCl20.1gCuCl2·2H2O25mgH3BO310mgNa2MoO4·2H2O24mgNiCl2·6H2O0.12gDistilled water1LFirst dissolve NTA in 200 ml of water and adjust the pH to 6.5 with KOH.***Se/W solutionNa2SeO34mgNa2WO44mgDistilled water1L****Resazurin solutionResazurin1gDistilled water1L			composition is empty and the name is a concatenated composition table; reaches the KGX export as a node
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1038.yaml	CultureMech:007451		Bacto Tryptic Soy Broth w/o Dextrose (Difco)	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1051.yaml	CultureMech:007452		NaCl	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
UNPARSED_SOLUTION_TABLE	solutions[].preferred_term	data/normalized_yaml/bacterial/NBRC_1051.yaml	CultureMech:007452	NaCl20gBacto Yeast Extract (Difco)2gMgCl2·6H2O3gMgSO4·7H2O6g(NH4)2SO41gCaCl2·2H2O0.3gKH2PO40.2gKCl0.5gNaBr0.05gH3BO30.025gSrCl2·6H2O0.02gFe(III) ammonium citrate0.01gBis Tris Propane2.25gTrace elements solution*10mlVitamin solution**10mlResazurin1mgNa2S·9H2O0.3gDistilled water1LMix ingredients except for vitamin and Na2S·9H2O, adjust pH to 7 with H2SO4, and autoclave under a N2atmosphere. Separately autoclave Na2S·9H2O as 5% solution under a N2atmosphere. Anaerobically add filter-sterile vitamin and Na2S·9H2O.*Trace elements solutionNitrilotriacetic acid (NTA)4.1gFeCl3·6H2O0.36gMnCl2·4H2O0.09gCoCl2·6H2O0.15gCaCl2·2H2O0.018gZnCl20.09gH3BO30.017gNa2MoO4·2H2O0.009gNiCl2·6H2O0.018gNa2SeO31.6mgNa2WO41.6mgAlK(SO4)25mgDistilled water1LFirst dissolve nitrilotriacetic acid and adjust pH to 6.5 with NaOH, and then add other minerals. Final pH 7.0.**Vitamin solutionBiotin2mgFolic acid2mgPyridoxine-HCl10mgThiamine-HCl5mgRiboflavin5mgNicotinic acid5mgCa-pantothenate5mgp-Aminobenzoic acid1mgVitamin B120.01mgDistilled water1L			composition is empty and the name is a concatenated composition table; reaches the KGX export as a node
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/bacterial/NBRC_1063.yaml	CultureMech:007453	Tryptone5gYeast extract3gNaCl10gUrea1gDistilled water1LAgar (if needed)15gAdjust pH to 8.5 with 50 mM Tris-HCl buffer.	variable	VARIABLE	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1063.yaml	CultureMech:007453		Tryptone	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/NBRC_1075.yaml	CultureMech:007454		3.0	G_PER_L	preferred_term is empty; the name is not recoverable from this record
UNPARSED_SOLUTION_TABLE	solutions[].preferred_term	data/normalized_yaml/bacterial/NBRC_1075.yaml	CultureMech:007454	Glucose10gBacto Peptone (Difco)5gBacto Yeast Extract (Difco)5gKH2PO41gMgSO4·7H2O0.2g20% NaCl solution200ml10% Na2CO3solution100mlAgar15gDistilled water700mlAutoclave NaCl and Na2CO3solutions separately and add the solutions to the medium aseptically.			composition is empty and the name is a concatenated composition table; reaches the KGX export as a node
NAME_IN_CONCENTRATION	ingredients	data/normalized_yaml/bacterial/NBRC_1091.yaml	CultureMech:007455		KH2PO4	G_PER_L	preferred_term is empty and the concentration value holds what looks like a reagent name
