file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	Na malate	CHEBI:131527	CHEBI:91261
data/normalized_yaml/bacterial/mediadive_4820_Solution_A.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4820_Solution_A.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4821_Solution_B.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4821_Solution_B.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4822_Solution_C.yaml	Crotonic acid	CHEBI:17217	CHEBI:41131
data/normalized_yaml/bacterial/mediadive_4822_Solution_C.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4824_Main_sol_J852.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4824_Main_sol_J852.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4824_Main_sol_J852.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_4824_Main_sol_J852.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4824_Main_sol_J852.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	FeCl2 x 4 H2O	CHEBI:86318	CHEBI:86249
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	MnCl2 x 4 H2O	CHEBI:86158	CHEBI:86368
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	CoCl2 x 6 H2O	CHEBI:35696	CHEBI:35696
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	CuCl2 x 2 H2O	CHEBI:75215	CHEBI:86318
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	NiCl2 x 6 H2O	CHEBI:36385	CHEBI:34887
data/normalized_yaml/bacterial/mediadive_4825_Trace_mineral_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4826_Se_W_solution.yaml	Na2WO4 x 2 H2O	CHEBI:48843	CHEBI:63939
data/normalized_yaml/bacterial/mediadive_4826_Se_W_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4827_Vitamin_solution.yaml	Biotin	CHEBI:15956	CHEBI:15956
data/normalized_yaml/bacterial/mediadive_4827_Vitamin_solution.yaml	Riboflavin	CHEBI:17015	CHEBI:17015
