file_path	record_id	verdict	detail	ungrounded_siblings
bacterial/rhodomicrobium_medium.yaml	CultureMech:008166	PROMOTED	0.2 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/rhodoplanes_medium.yaml	CultureMech:003003	PROMOTED	0.497018 g/L Yeast extract; 16 others all CHEBI-grounded	
bacterial/rhodopseudomonas_globiformis_medium.yaml	CultureMech:001358	PROMOTED	0.25 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/rhodopseudomonas_sulfoviridis_medium.yaml	CultureMech:000531	PROMOTED	0.3 g/L Yeast extract; 20 others all CHEBI-grounded	
bacterial/rhodospirillaceae_medium_modified.yaml	CultureMech:001375	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/rhodovulum_imhoffii_medium.yaml	CultureMech:002871	PROMOTED	0.397219 g/L Yeast extract; 17 others all CHEBI-grounded	
bacterial/rhodovulum_medium.yaml	CultureMech:000851	PROMOTED	0.1 g/L Yeast extract; 26 others all CHEBI-grounded	
bacterial/rhodovulum_visakhum_medium.yaml	CultureMech:000565	PROMOTED	0.4 g/L Yeast extract; 16 others all CHEBI-grounded	
bacterial/roseospira_medium.yaml	CultureMech:002917	PROMOTED	0.397614 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/ruminiclostridium_cellobioparum_medium.yaml	CultureMech:001671	PROMOTED	0.499501 g/L Yeast extract; 20 others all CHEBI-grounded	
bacterial/s_heliorestis_medium.yaml	CultureMech:000841	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	NaHSeO3
bacterial/sa_medium.yaml	CultureMech:008107	CURATOR: ground the sibling, or add it to the undefined list	3 other ingredient(s) not CHEBI-grounded	Agar (if needed); Niacine; Pyridoxal-HCl
bacterial/scy_medium.yaml	CultureMech:001413	CURATOR: ground the sibling, or add it to the undefined list	3 other ingredient(s) not CHEBI-grounded	Casitone; Pancreatic digest of casein; Peptic digest of soybean meal
bacterial/sd0_medium.yaml	CultureMech:002698	PROMOTED	0.098912 g/L Yeast extract; 27 others all CHEBI-grounded	
bacterial/sdo_medium.yaml	CultureMech:000590	PROMOTED	0.1 g/L Yeast extract; 26 others all CHEBI-grounded	
bacterial/si_medium.yaml	CultureMech:002642	PROMOTED	0.110619 g/L Yeast extract; 28 others all CHEBI-grounded	
bacterial/siuc_3_medium.yaml	CultureMech:002450	PROMOTED	0.098912 g/L Yeast extract; 25 others all CHEBI-grounded	
bacterial/sme_medium.yaml	CultureMech:000594	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	KJ
bacterial/solidesulfovibrio_marrakechensis_medium.yaml	CultureMech:000652	PROMOTED	0.0997009 g/L Yeast extract; 35 others all CHEBI-grounded	
bacterial/sp2_medium.yaml	CultureMech:001515	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Casitone
bacterial/sporobacter_medium.yaml	CultureMech:001849	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	3,4,5-Trimethoxycinnamic acid
bacterial/sporocytophaga_medium.yaml	CultureMech:001161	PROMOTED	0.02 g/L Yeast extract; 7 others all CHEBI-grounded	
bacterial/st21_agar_for_cellulose_degraders.yaml	CultureMech:002113	PROMOTED	0.0333333 g/L Yeast extract; 8 others all CHEBI-grounded	
