culturemech_id	file_path
CultureMech:000265	data/normalized_yaml/archaea/DSMZ_470_PSEUDOMONAS_HALOPHILA_MEDIUM.yaml
CultureMech:000266	data/normalized_yaml/archaea/DSMZ_479_METHANOHALOPHILUS_MEDIUM.yaml
CultureMech:000267	data/normalized_yaml/archaea/DSMZ_479a_METHANOHALOPHILUS_PROFUNDI_MEDIUM.yaml
CultureMech:000268	data/normalized_yaml/archaea/DSMZ_509_SPIROCHAETA_THERMOPHILA_MEDIUM.yaml
CultureMech:000269	data/normalized_yaml/archaea/DSMZ_525_METHANOHALOPHILUS_MG_MEDIUM.yaml
CultureMech:000270	data/normalized_yaml/archaea/DSMZ_525a_METHANOHALOPHILUS_MG_NaCl_MEDIUM.yaml
CultureMech:000271	data/normalized_yaml/archaea/DSMZ_533_THERMOPHILIC_HYDROGEN_BACTERIA_MEDIUM.yaml
CultureMech:000272	data/normalized_yaml/archaea/DSMZ_536_THIOCAPSA_HALOPHILA_MEDIUM.yaml
CultureMech:000273	data/normalized_yaml/archaea/DSMZ_570_MEDIUM_FOR_THERMOPHILIC_ACTINOMYCETES_AGRE_1964.yaml
CultureMech:000274	data/normalized_yaml/archaea/DSMZ_590_DICHOTOMICROBIUM_THERMOHALOPHILUM_MEDIUM.yaml
CultureMech:000275	data/normalized_yaml/archaea/DSMZ_625_HP_101_HALOPHILE_MEDIUM.yaml
CultureMech:000276	data/normalized_yaml/archaea/DSMZ_652_HALOPHILE_MEDIUM.yaml
CultureMech:000277	data/normalized_yaml/archaea/DSMZ_674_MEDIUM_FOR_ACIDURIC_THERMOPHILIC_BACILLUS_STRAINS.yaml
CultureMech:000278	data/normalized_yaml/archaea/DSMZ_713_METHANOHALOPHILUS_EUHALOBIUS_MEDIUM.yaml
CultureMech:000279	data/normalized_yaml/archaea/DSMZ_718a_PETROTOGA_HALOPHILA_MEDIUM.yaml
CultureMech:000280	data/normalized_yaml/archaea/DSMZ_73_MEDIUM_FOR_HALOPHILIC_BACILLI.yaml
CultureMech:000281	data/normalized_yaml/archaea/DSMZ_744_HYDROGENOBACTER_HALOPHILUS_MEDIUM.yaml
