culturemech_id	lineage_signature	file_path	display_name	lifecycle_status	successor_ids	lifecycle_note	catalog_schema_version
CultureMech:005332	sha256:e78fa5ed0eb54cff2a442b1763fd8bf54cd06ed482ef1e1dfb699f6699f5d833	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11570.yaml	medium_457_modified_for_dsm_11570	ACTIVE			1
CultureMech:005333	sha256:55301cdf6f69b655c7ede9ae100f67f72cb1b54dc75335908a28ca7bfaca90bd	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11591.yaml	medium_457_modified_for_dsm_11591	ACTIVE			1
CultureMech:005334	sha256:85690e3e89cfeaa11b9ea84eae05f821a691dd8debe9637608148299853122c6	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11738.yaml	medium_457_modified_for_dsm_11738	ACTIVE			1
CultureMech:005335	sha256:3b3b500e8ab3e9c276d09bd820f39148bea3c032121a0bd680ec35782b673b64	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11850.yaml	medium_457_modified_for_dsm_11850	ACTIVE			1
CultureMech:005336	sha256:80fbbf5ea4cc944c3be90973ebeb274c98469dc3a0983d3421b05535c368c920	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12401.yaml	medium_457_modified_for_dsm_12401	ACTIVE			1
CultureMech:005337	sha256:b4c25f647da38f98b5137c060065807000ddc3f3766c76037c0650d2d19dae80	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12418.yaml	medium_457_modified_for_dsm_12418	ACTIVE			1
CultureMech:005338	sha256:59ae28acfff136f88375399bed6d9b4318987e90e8ff2dfa462e2c286f2011ea	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12444.yaml	medium_457_modified_for_dsm_12444	ACTIVE			1
CultureMech:005339	sha256:6351da7ed6b9c1988b9d3448c28460db370826b6fb7095fdbb37075e83f42efd	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12445.yaml	medium_457_modified_for_dsm_12445	ACTIVE			1
CultureMech:005340	sha256:f2473d0f476a6bbb2aa3b76930e28b917c8bf73678b62ff9b98ba772526acb3a	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12447.yaml	medium_457_modified_for_dsm_12447	ACTIVE			1
CultureMech:005341	sha256:1aefed4db75933c28dbf89207cec1a4e48901dcd980812614233532f5de63321	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12448.yaml	medium_457_modified_for_dsm_12448	ACTIVE			1
CultureMech:005342	sha256:bc3d1050edd28e2b8788043ed5d64b150ed5192bc04c96f96adb402a0803aad8	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12586.yaml	medium_457_modified_for_dsm_12586	ACTIVE			1
CultureMech:005343	sha256:32cb33b60cf5b35578a16d5a44d668c9d7538c682ad8b3792dab77546b2840a5	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12647.yaml	medium_457_modified_for_dsm_12647	ACTIVE			1
CultureMech:005344	sha256:974cacd23fb849dec315d5e248d0c9d89f5aa8a0e32ba64bc282c03ecc6bcf2c	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12677.yaml	medium_457_modified_for_dsm_12677	ACTIVE			1
CultureMech:005345	sha256:fd8c726f9fe31d37cf1a4b9860590d5b01913f4b401cd9d8d79992969098476f	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12734.yaml	medium_457_modified_for_dsm_12734	ACTIVE			1
CultureMech:005346	sha256:374d355aba4db2a538516649b93f85323adedfd9e20a5a642ea3816c218ac9c1	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_12735.yaml	medium_457_modified_for_dsm_12735	ACTIVE			1
CultureMech:005347	sha256:2f5989a5db4dcc2d6981facdaede121b54f05a309b3e7f79f11793ba7e6ce4ed	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_13225.yaml	medium_457_modified_for_dsm_13225	ACTIVE			1
CultureMech:005348	sha256:2f39023140ebbd27bbce9fba9139bddb457b3a82785e06d17b76529b7a4f8fea	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_13337.yaml	medium_457_modified_for_dsm_13337	ACTIVE			1
CultureMech:005349	sha256:d2a0be89db86895986e0af763a7a7280917bf2c17f475dccef5ec5a56a8be81f	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_13646.yaml	medium_457_modified_for_dsm_13646	ACTIVE			1
CultureMech:005350	sha256:379d53f25505d026f701f0fcfd7d3bec5da03706531f217bf488ad38bc21dcc8	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_14157.yaml	medium_457_modified_for_dsm_14157	ACTIVE			1
CultureMech:005351	sha256:0b14463717c09bf41bfb02663fd3920310e670721f0939077b2ae3cf3fee6eeb	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_14291.yaml	medium_457_modified_for_dsm_14291	ACTIVE			1
CultureMech:005352	sha256:9678b0d649e0d38258846d0fea158e8adcc139f95f2d302873a67ea4593ca17a	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_14292.yaml	medium_457_modified_for_dsm_14292	ACTIVE			1
CultureMech:005353	sha256:636e659b0c3221028c55621e5a9ad6efa36475edeacd0a1c8f9aa50dfa40f2f1	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_14576.yaml	medium_457_modified_for_dsm_14576	ACTIVE			1
CultureMech:005354	sha256:dc3e3124580e9e3ef92d5d64f6455218347b55bf1fefccbeda355d3e72ccba9d	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_14677.yaml	medium_457_modified_for_dsm_14677	ACTIVE			1
CultureMech:005355	sha256:5653cae5fcc75e6b310452ed81efd53c860123d8c9b7046289dc52f5105345a2	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_15090.yaml	medium_457_modified_for_dsm_15090	ACTIVE			1
CultureMech:005356	sha256:4dd47570ac647501acf80dcad8b5c4b5ab7e6fbf1e9e6d683f9c9d0f8d7d9ad9	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_15091.yaml	medium_457_modified_for_dsm_15091	ACTIVE			1
CultureMech:005357	sha256:512d5a8176df35d1c8149fbefffeabc77b02ce4bbea2284463eab004502db9b8	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_15418.yaml	medium_457_modified_for_dsm_15418	ACTIVE			1
CultureMech:005358	sha256:d071f94a2ead7229fa21b2da7eba42670a0eb910421ce0a652d0598047c625f4	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_16272.yaml	medium_457_modified_for_dsm_16272	ACTIVE			1
CultureMech:005359	sha256:30d4b563919bf2d52936f6f201570949c1696468a946cb70f565edef1fd8f4fa	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_16273.yaml	medium_457_modified_for_dsm_16273	ACTIVE			1
CultureMech:005360	sha256:39b4e722967a6b1884689f9810b67d3b538a9a8d785935843ceaac4a5b2a7db0	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_16274.yaml	medium_457_modified_for_dsm_16274	ACTIVE			1
CultureMech:005361	sha256:b9dc1fa351bebe3b9d1dc2c69837af35033d71fd0f038e73b5f29153f85accbc	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_16482.yaml	medium_457_modified_for_dsm_16482	ACTIVE			1
CultureMech:005362	sha256:1ba07d4e0c430487e61a7ae9ba4f5c55fb61ae8fe7839d24b9cfbae86575c0bd	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_16503.yaml	medium_457_modified_for_dsm_16503	ACTIVE			1
